DateTime.MST,ScansPerRec,EnclosureTemp.deg.C,AirTemperature.deg.C,RelHumidity.percent,BarometricPress.kPa,Precip.mm,Windspeed.m.s,SoilHeatFlux.W.m2,ShortwaveIn.W.m2,ShortwaveOut.W.m2,LongwaveIn.W.m2,LongwaveOut.W.m2,NetRadiation.W.m2,DataFlag_01
2022-01-01 00:00:00,15.0,-4.39,-9.81,94.06,71.7541,0.0,0.0,-0.426,-2.45,-2.83,-99999,281.19,-99999,P
2022-01-01 00:30:00,15.0,-4.64,-10.17,93.99,71.7398,0.0,0.0,-0.429,-2.45,-2.69,-99999,280.5,-99999,P
2022-01-01 01:00:00,15.0,-4.87,-10.28,94.12,71.7431,0.0,0.0,-0.434,-2.45,-2.67,-99999,281.62,-99999,P
2022-01-01 01:30:00,15.0,-5.07,-10.31,94.08,71.75,0.0,0.0,-0.437,-2.45,-2.77,-99999,281.98,-99999,P
2022-01-01 02:00:00,15.0,-5.18,-10.39,93.77,71.7512,0.0,0.0,-0.441,-2.43,-2.65,-99999,278.65,-99999,P
2022-01-01 02:30:00,15.0,-5.43,-11.69,91.69,71.7399,0.0,0.0,-0.445,-2.35,-3.49,-99999,264.79,-99999,P
2022-01-01 03:00:00,15.0,-6.14,-13.17,91.78,71.7487,0.0,0.0,-0.448,-2.37,-2.65,-99999,268.17,-99999,P
2022-01-01 03:30:00,15.0,-6.74,-12.85,92.94,71.7467,0.0,0.0,-0.453,-2.39,-2.5,-99999,273.89,-99999,P
2022-01-01 04:00:00,15.0,-6.9,-12.19,93.27,71.7302,0.0,0.0,-0.458,-2.39,-2.54,-99999,276.69,-99999,P
2022-01-01 04:30:00,15.0,-6.86,-11.71,93.43,71.7327,0.0,0.0,-0.462,-2.43,-2.34,-99999,278.13,-99999,P
2022-01-01 05:00:00,15.0,-6.71,-11.16,93.9,71.7176,0.0,0.0,-0.467,-2.43,-2.54,-99999,279.08,-99999,P
2022-01-01 05:30:00,15.0,-6.65,-10.86,93.86,71.6956,0.0,0.0,-0.471,-2.45,-2.7,-99999,278.92,-99999,P
2022-01-01 06:00:00,15.0,-6.6,-10.83,93.7,71.7318,0.0,0.0,-0.476,-2.45,-2.8,-99999,278.3,-99999,P
2022-01-01 06:30:00,15.0,-6.57,-10.77,93.74,71.7773,0.0,0.455,-0.48,-2.51,-2.84,-99999,279.23,-99999,P
2022-01-01 07:00:00,15.0,-6.63,-10.61,93.3,71.8323,0.0,0.594,-0.484,-2.59,-2.92,-99999,278.9,-99999,P
2022-01-01 07:30:00,15.0,-6.74,-10.91,92.79,71.8734,0.0,0.0,-0.487,-2.14,-2.07,-99999,274.86,-99999,P
2022-01-01 08:00:00,15.0,-7.05,-11.47,92.55,71.921,0.0,0.504,-0.491,0.77,8.22,-99999,270.76,-99999,P
2022-01-01 08:30:00,15.0,-7.34,-11.53,91.97,71.9696,0.0,1.011,-0.496,6.73,28.01,-99999,272.87,-99999,P
2022-01-01 09:00:00,15.0,-7.34,-11.61,90.67,72.0154,0.0,1.321,-0.501,18.58,67.76,-99999,274.31,-99999,P
2022-01-01 09:30:00,15.0,-7.14,-11.32,90.73,72.0583,0.0,0.879,-0.506,36.77,126.91,-99999,277.04,-99999,P
2022-01-01 10:00:00,15.0,-6.76,-10.98,89.28,72.0921,0.0,1.361,-0.512,66.34,205.44,-99999,278.42,-99999,P
2022-01-01 10:30:00,15.0,-5.9,-11.05,88.12,72.1533,0.0,1.523,-0.516,79.58,245.13,-99999,280.22,-99999,P
2022-01-01 11:00:00,15.0,-4.94,-11.5,87.4,72.1953,0.0,1.742,-0.52,76.26,238.73,-99999,278.55,-99999,P
2022-01-01 11:30:00,15.0,-4.81,-11.89,86.57,72.2253,0.0,2.364,-0.524,81.72,252.7,-99999,278.17,-99999,P
2022-01-01 12:00:00,15.0,-3.54,-11.79,85.46,72.2448,0.0,2.232,-0.527,89.66,263.27,-99999,278.56,-99999,P
2022-01-01 12:30:00,15.0,-4.24,-11.82,84.62,72.2364,0.0,2.488,-0.533,106.75,300.17,-99999,279.45,-99999,P
2022-01-01 13:00:00,15.0,-2.69,-11.77,84.3,72.2669,0.0,2.295,-0.536,86.78,249.5,-99999,278.79,-99999,P
2022-01-01 13:30:00,15.0,-3.4,-12.27,84.6,72.3002,0.0,2.595,-0.54,76.2,214.69,-99999,275.05,-99999,P
2022-01-01 14:00:00,15.0,-2.74,-12.31,84.41,72.3648,0.0,2.552,-0.545,92.08,230.32,-99999,276.5,-99999,P
