DateTime.MST,SR-OBJ-ET0_WaterTemp.deg.C,SR-OBJ-ET0_DTW.m,SR-OBJ-ET0_WaterLevelElev.masl,DataFlag_01,DataFlag_02
2018-10-06 14:00:00,7.983,0.961,2724.961,P,ER HOBO
2018-10-06 15:00:00,7.782,0.967,2724.955,P,ER HOBO
2018-10-06 16:00:00,7.782,0.967,2724.955,P,ER HOBO
2018-10-06 17:00:00,7.682,0.968,2724.954,P,ER HOBO
2018-10-06 18:00:00,7.682,0.968,2724.954,P,ER HOBO
2018-10-06 19:00:00,7.682,0.968,2724.954,P,ER HOBO
2018-10-06 20:00:00,7.682,0.974,2724.948,P,ER HOBO
2018-10-06 21:00:00,7.682,0.975,2724.947,P,ER HOBO
2018-10-06 22:00:00,7.682,0.973,2724.949,P,ER HOBO
2018-10-06 23:00:00,7.682,0.974,2724.948,P,ER HOBO
2018-10-07 00:00:00,7.682,0.978,2724.944,P,ER HOBO
2018-10-07 01:00:00,7.682,0.98,2724.942,P,ER HOBO
2018-10-07 02:00:00,7.682,0.979,2724.943,P,ER HOBO
2018-10-07 03:00:00,7.682,0.978,2724.944,P,ER HOBO
2018-10-07 04:00:00,7.682,0.982,2724.94,P,ER HOBO
2018-10-07 05:00:00,7.682,0.98,2724.942,P,ER HOBO
2018-10-07 06:00:00,7.682,0.979,2724.943,P,ER HOBO
2018-10-07 07:00:00,7.682,0.982,2724.94,P,ER HOBO
2018-10-07 08:00:00,7.682,0.985,2724.937,P,ER HOBO
2018-10-07 09:00:00,7.682,0.98,2724.942,P,ER HOBO
2018-10-07 10:00:00,7.682,0.982,2724.94,P,ER HOBO
2018-10-07 11:00:00,7.682,0.986,2724.936,P,ER HOBO
2018-10-07 12:00:00,7.682,0.981,2724.941,P,ER HOBO
2018-10-07 13:00:00,7.682,0.985,2724.937,P,ER HOBO
2018-10-07 14:00:00,7.682,0.984,2724.938,P,ER HOBO
2018-10-07 15:00:00,7.682,0.986,2724.936,P,ER HOBO
2018-10-07 16:00:00,7.682,0.982,2724.94,P,ER HOBO
2018-10-07 17:00:00,7.682,0.986,2724.936,P,ER HOBO
2018-10-07 18:00:00,7.682,0.985,2724.937,P,ER HOBO
2018-10-07 19:00:00,7.682,0.988,2724.934,P,ER HOBO
2018-10-07 20:00:00,7.682,0.988,2724.934,P,ER HOBO
2018-10-07 21:00:00,7.682,0.99,2724.932,P,ER HOBO
2018-10-07 22:00:00,7.682,0.992,2724.93,P,ER HOBO
2018-10-07 23:00:00,7.682,0.992,2724.93,P,ER HOBO
2018-10-08 00:00:00,7.682,0.994,2724.928,P,ER HOBO
2018-10-08 01:00:00,7.682,0.991,2724.931,P,ER HOBO
2018-10-08 02:00:00,7.682,0.993,2724.929,P,ER HOBO
2018-10-08 03:00:00,7.682,0.992,2724.93,P,ER HOBO
2018-10-08 04:00:00,7.682,0.993,2724.929,P,ER HOBO
2018-10-08 05:00:00,7.682,0.994,2724.928,P,ER HOBO
2018-10-08 06:00:00,7.682,0.995,2724.927,P,ER HOBO
2018-10-08 07:00:00,7.682,0.996,2724.926,P,ER HOBO
2018-10-08 08:00:00,7.682,0.996,2724.926,P,ER HOBO
2018-10-08 09:00:00,7.682,0.996,2724.926,P,ER HOBO
2018-10-08 10:00:00,7.682,0.994,2724.928,P,ER HOBO
2018-10-08 11:00:00,7.682,0.995,2724.927,P,ER HOBO
2018-10-08 12:00:00,7.682,0.989,2724.933,P,ER HOBO
2018-10-08 13:00:00,7.682,0.992,2724.93,P,ER HOBO
2018-10-08 14:00:00,7.682,0.99,2724.932,P,ER HOBO
2018-10-08 15:00:00,7.682,0.989,2724.933,P,ER HOBO
2018-10-08 16:00:00,7.682,0.99,2724.932,P,ER HOBO
2018-10-08 17:00:00,7.682,0.991,2724.931,P,ER HOBO
2018-10-08 18:00:00,7.682,0.992,2724.93,P,ER HOBO
2018-10-08 19:00:00,7.682,0.993,2724.929,P,ER HOBO
2018-10-08 20:00:00,7.682,0.993,2724.929,P,ER HOBO
2018-10-08 21:00:00,7.682,0.992,2724.93,P,ER HOBO
