DateTime.MST,SR-DSofDAM-WT_WaterTemp.deg.C,SR-DSofDAM-WT_DTW.m,SR-DSofDAM-WT_WaterLevelElev.masl,SR-OBJ1-WT_WaterTemp.deg.C,SR-OBJ1-WT_DTW.m,SR-OBJ1-WT_WaterLevelElev.masl,SR-OBJ-ET0_WaterTemp.deg.C,SR-OBJ-ET0_DTW.m,SR-OBJ-ET0_WaterLevelElev.masl,SR-OBJ-ET1_WaterTemp.deg.C,SR-OBJ-ET1_DTW.m,SR-OBJ-ET1_WaterLevelElev.masl,SR-OBJ-ET2_WaterTemp.deg.C,SR-OBJ-ET2_DTW.m,SR-OBJ-ET2_WaterLevelElev.masl,SR-OBJ-ET3_WaterTemp.deg.C,SR-OBJ-ET3_DTW.m,SR-OBJ-ET3_WaterLevelElev.masl,SR-OBJ-ET4_WaterTemp.deg.C,SR-OBJ-ET4_DTW.m,SR-OBJ-ET4_WaterLevelElev.masl,DataFlag_01,DataFlag_02
2022-01-01 00:00:00,1.764,0.641,2725.069,1.221,0.94,2725.381,3.893,0.409,2725.513,4.207,0.858,2725.418,3.049,1.028,2725.314,3.998,0.725,2725.41,3.155,0.592,2725.372,P,CS100
2022-01-01 01:00:00,1.764,0.643,2725.067,1.221,0.945,2725.376,3.893,0.415,2725.507,4.207,0.86,2725.416,3.049,1.029,2725.313,3.998,0.727,2725.408,3.155,0.596,2725.368,P,CS100
2022-01-01 02:00:00,1.764,0.646,2725.064,1.221,0.95,2725.371,3.893,0.423,2725.499,4.207,0.862,2725.414,3.049,1.029,2725.313,3.998,0.729,2725.406,3.155,0.602,2725.362,P,CS100
2022-01-01 03:00:00,1.764,0.646,2725.064,1.221,0.953,2725.368,3.893,0.426,2725.496,4.207,0.865,2725.411,3.049,1.031,2725.311,3.998,0.731,2725.404,3.155,0.607,2725.357,P,CS100
2022-01-01 04:00:00,1.764,0.649,2725.061,1.221,0.956,2725.365,3.893,0.435,2725.487,4.207,0.867,2725.409,3.049,1.033,2725.309,3.998,0.736,2725.399,3.155,0.614,2725.35,P,CS100
2022-01-01 05:00:00,1.764,0.651,2725.059,1.221,0.959,2725.362,3.893,0.44,2725.482,4.207,0.869,2725.407,3.049,1.034,2725.308,3.998,0.739,2725.396,3.155,0.619,2725.345,P,CS100
2022-01-01 06:00:00,1.764,0.653,2725.057,1.221,0.964,2725.357,3.893,0.446,2725.476,4.207,0.87,2725.406,3.049,1.034,2725.308,3.998,0.742,2725.393,3.155,0.624,2725.34,P,CS100
2022-01-01 07:00:00,1.764,0.657,2725.053,1.221,0.968,2725.353,3.893,0.453,2725.469,4.207,0.874,2725.402,3.049,1.037,2725.305,3.998,0.744,2725.391,3.155,0.629,2725.335,P,CS100
2022-01-01 08:00:00,1.764,0.659,2725.051,1.221,0.971,2725.35,3.893,0.458,2725.464,4.207,0.874,2725.402,3.049,1.036,2725.306,3.998,0.747,2725.388,3.155,0.634,2725.33,P,CS100
2022-01-01 09:00:00,1.764,0.658,2725.052,1.221,0.968,2725.353,3.893,0.462,2725.46,4.207,0.874,2725.402,3.049,1.036,2725.306,3.998,0.749,2725.386,3.155,0.637,2725.327,P,CS100
