DateTime.MST,SR-OBJ-GBPiezo-2_WaterTemp.deg.C,SR-OBJ-GBPiezo-2_DTW.m,SR-OBJ-GBPiezo-2_WaterLevelElev.masl,SR-OBJ-GBPiezo-4_WaterTemp.deg.C,SR-OBJ-GBPiezo-4_DTW.m,SR-OBJ-GBPiezo-4_WaterLevelElev.masl,SR-OBJ-GBPiezo-5_WaterTemp.deg.C,SR-OBJ-GBPiezo-5_DTW.m,SR-OBJ-GBPiezo-5_WaterLevelElev.masl,SR-OBJ-GBPiezo-6_WaterTemp.deg.C,SR-OBJ-GBPiezo-6_DTW.m,SR-OBJ-GBPiezo-6_WaterLevelElev.masl,SR-OBJ-GBPiezo-7_WaterTemp.deg.C,SR-OBJ-GBPiezo-7_DTW.m,SR-OBJ-GBPiezo-7_WaterLevelElev.masl,SR-OBJ-GBPiezo-8_WaterTemp.deg.C,SR-OBJ-GBPiezo-8_DTW.m,SR-OBJ-GBPiezo-8_WaterLevelElev.masl,SR-OBJ-GBPiezo-9_WaterTemp.deg.C,SR-OBJ-GBPiezo-9_DTW.m,SR-OBJ-GBPiezo-9_WaterLevelElev.masl,SR-OBJ-GBPiezo-10_WaterTemp.deg.C,SR-OBJ-GBPiezo-10_DTW.m,SR-OBJ-GBPiezo-10_WaterLevelElev.masl,DataFlag_01,DataFlag_02
2022-01-01 00:00:00,3.049,1.169,2725.192,3.998,1.171,2724.818,3.788,1.065,2724.766,2.837,0.839,2724.614,4.623,0.924,2724.775,1.33,1.013,2725.146,1.656,0.622,2725.579,1.439,0.583,2725.82,P,CS100
2022-01-01 01:00:00,3.049,1.168,2725.193,3.998,1.171,2724.818,3.788,1.065,2724.766,2.837,0.839,2724.614,4.623,0.921,2724.778,1.33,1.012,2725.147,1.656,0.623,2725.578,1.439,0.583,2725.82,P,CS100
2022-01-01 02:00:00,3.049,1.169,2725.192,3.998,1.172,2724.817,3.788,1.066,2724.765,2.837,0.839,2724.614,4.623,0.923,2724.776,1.33,1.012,2725.147,1.656,0.623,2725.578,1.439,0.583,2725.82,P,CS100
2022-01-01 03:00:00,3.049,1.168,2725.193,3.998,1.175,2724.814,3.788,1.069,2724.762,2.837,0.842,2724.611,4.623,0.923,2724.776,1.33,1.01,2725.149,1.548,0.624,2725.577,1.439,0.582,2725.821,P,CS100
2022-01-01 04:00:00,2.943,1.169,2725.192,3.998,1.175,2724.814,3.788,1.071,2724.76,2.837,0.842,2724.611,4.623,0.923,2724.776,1.33,1.009,2725.15,1.656,0.623,2725.578,1.439,0.581,2725.822,P,CS100
2022-01-01 05:00:00,2.943,1.168,2725.193,3.998,1.177,2724.812,3.788,1.069,2724.762,2.837,0.841,2724.612,4.623,0.921,2724.778,1.33,1.005,2725.154,1.548,0.62,2725.581,1.439,0.58,2725.823,P,CS100
2022-01-01 06:00:00,2.943,1.162,2725.199,3.998,1.176,2724.813,3.788,1.067,2724.764,2.837,0.841,2724.612,4.623,0.916,2724.783,1.33,0.997,2725.162,1.548,0.617,2725.584,1.439,0.574,2725.829,P,CS100
2022-01-01 07:00:00,2.943,1.162,2725.199,3.998,1.178,2724.811,3.788,1.068,2724.763,2.837,0.841,2724.612,4.623,0.915,2724.784,1.33,0.992,2725.167,1.548,0.616,2725.585,1.33,0.572,2725.831,P,CS100
2022-01-01 08:00:00,2.943,1.158,2725.203,3.998,1.177,2724.812,3.788,1.066,2724.765,2.837,0.839,2724.614,4.623,0.914,2724.785,1.33,0.989,2725.17,1.548,0.612,2725.589,1.33,0.567,2725.836,P,CS100
2022-01-01 09:00:00,2.943,1.157,2725.204,3.998,1.176,2724.813,3.788,1.063,2724.768,2.837,0.838,2724.615,4.623,0.912,2724.787,1.33,0.986,2725.173,1.548,0.61,2725.591,1.33,0.565,2725.838,P,CS100
