DateTime.MST,SR-SC-1.1_WaterTemp.deg.C,SR-SC-1.1_DTW.m,SR-SC-1.1_WaterLevelElev.masl,SR-SC-2.1_WaterTemp.deg.C,SR-SC-2.1_DTW.m,SR-SC-2.1_WaterLevelElev.masl,SR-SC-2.2_WaterTemp.deg.C,SR-SC-2.2_DTW.m,SR-SC-2.2_WaterLevelElev.masl,SR-BD-WT_WaterTemp.deg.C,SR-BD-WT_DTW.m,SR-BD-WT_WaterLevelElev.masl,SR-OBJ-Fenceline-WT_WaterTemp.deg.C,SR-OBJ-Fenceline-WT_DTW.m,SR-OBJ-Fenceline-WT_WaterLevelElev.masl,DataFlag_01,DataFlag_02
2021-01-01 00:00:00,2.195,0.296,2724.384,1.548,0.434,2724.721,1.548,0.367,2724.858,2.624,-0.539,2725.739,-99999,-99999,-99999,P,KCOCREST39 & KCOCREST46
2021-01-01 01:00:00,2.195,0.299,2724.381,1.548,0.439,2724.716,1.548,0.371,2724.854,2.624,-0.534,2725.734,-99999,-99999,-99999,P,KCOCREST39 & KCOCREST46
2021-01-01 02:00:00,2.195,0.3,2724.38,1.548,0.437,2724.718,1.548,0.372,2724.853,2.624,-0.535,2725.735,-99999,-99999,-99999,P,KCOCREST39 & KCOCREST46
2021-01-01 03:00:00,2.195,0.297,2724.383,1.548,0.434,2724.721,1.548,0.368,2724.857,2.624,-0.539,2725.739,-99999,-99999,-99999,P,KCOCREST39 & KCOCREST46
2021-01-01 04:00:00,2.195,0.296,2724.384,1.548,0.435,2724.72,1.548,0.368,2724.857,2.624,-0.541,2725.741,-99999,-99999,-99999,P,KCOCREST39 & KCOCREST46
2021-01-01 05:00:00,2.195,0.297,2724.383,1.548,0.436,2724.719,1.548,0.369,2724.856,2.624,-0.538,2725.738,-99999,-99999,-99999,P,KCOCREST39 & KCOCREST46
2021-01-01 06:00:00,2.195,0.298,2724.382,1.548,0.436,2724.719,1.548,0.37,2724.855,2.624,-0.538,2725.738,-99999,-99999,-99999,P,KCOCREST39 & KCOCREST46
2021-01-01 07:00:00,2.195,0.299,2724.381,1.548,0.438,2724.717,1.548,0.369,2724.856,2.624,-0.537,2725.737,-99999,-99999,-99999,P,KCOCREST39 & KCOCREST46
2021-01-01 08:00:00,2.195,0.3,2724.38,1.548,0.438,2724.717,1.548,0.371,2724.854,2.624,-0.537,2725.737,-99999,-99999,-99999,P,KCOCREST39 & KCOCREST46
2021-01-01 09:00:00,2.195,0.299,2724.381,1.548,0.437,2724.718,1.548,0.369,2724.856,2.624,-0.541,2725.741,-99999,-99999,-99999,P,KCOCREST39 & KCOCREST46
2021-01-01 10:00:00,2.195,0.295,2724.385,1.548,0.434,2724.721,1.548,0.366,2724.859,2.624,-0.542,2725.742,-99999,-99999,-99999,P,KCOCREST39 & KCOCREST46
2021-01-01 11:00:00,2.195,0.294,2724.386,1.548,0.432,2724.723,1.548,0.363,2724.862,2.624,-0.543,2725.743,-99999,-99999,-99999,P,KCOCREST39 & KCOCREST46
2021-01-01 12:00:00,2.195,0.294,2724.386,1.548,0.431,2724.724,1.548,0.365,2724.86,2.624,-0.542,2725.742,-99999,-99999,-99999,P,KCOCREST39 & KCOCREST46
2021-01-01 13:00:00,2.195,0.296,2724.384,1.439,0.435,2724.72,1.548,0.367,2724.858,2.624,-0.539,2725.739,-99999,-99999,-99999,P,KCOCREST39 & KCOCREST46
2021-01-01 14:00:00,2.195,0.297,2724.383,1.439,0.435,2724.72,1.548,0.365,2724.86,2.624,-0.54,2725.74,-99999,-99999,-99999,P,KCOCREST39 & KCOCREST46
2021-01-01 15:00:00,2.195,0.298,2724.382,1.439,0.435,2724.72,1.548,0.368,2724.857,2.624,-0.535,2725.735,-99999,-99999,-99999,P,KCOCREST39 & KCOCREST46
2021-01-01 16:00:00,2.195,0.298,2724.382,1.439,0.437,2724.718,1.548,0.37,2724.855,2.624,-0.535,2725.735,-99999,-99999,-99999,P,KCOCREST39 & KCOCREST46
2021-01-01 17:00:00,2.195,0.299,2724.381,1.439,0.438,2724.717,1.548,0.37,2724.855,2.624,-0.535,2725.735,-99999,-99999,-99999,P,KCOCREST39 & KCOCREST46
2021-01-01 18:00:00,2.195,0.301,2724.379,1.439,0.44,2724.715,1.548,0.369,2724.856,2.624,-0.534,2725.734,-99999,-99999,-99999,P,KCOCREST39 & KCOCREST46
2021-01-01 19:00:00,2.195,0.299,2724.381,1.439,0.438,2724.717,1.548,0.369,2724.856,2.624,-0.535,2725.735,-99999,-99999,-99999,P,KCOCREST39 & KCOCREST46
2021-01-01 20:00:00,2.195,0.299,2724.381,1.439,0.436,2724.719,1.548,0.368,2724.857,2.624,-0.536,2725.736,-99999,-99999,-99999,P,KCOCREST39 & KCOCREST46
2021-01-01 21:00:00,2.195,0.298,2724.382,1.439,0.437,2724.718,1.439,0.371,2724.854,2.624,-0.535,2725.735,-99999,-99999,-99999,P,KCOCREST39 & KCOCREST46
2021-01-01 22:00:00,2.195,0.298,2724.382,1.439,0.439,2724.716,1.548,0.37,2724.855,2.624,-0.534,2725.734,-99999,-99999,-99999,P,KCOCREST39 & KCOCREST46
2021-01-01 23:00:00,2.195,0.298,2724.382,1.439,0.439,2724.716,1.548,0.371,2724.854,2.624,-0.536,2725.736,-99999,-99999,-99999,P,KCOCREST39 & KCOCREST46
2021-01-02 00:00:00,2.195,0.299,2724.381,1.439,0.438,2724.717,1.439,0.371,2724.854,2.624,-0.533,2725.733,-99999,-99999,-99999,P,KCOCREST39 & KCOCREST46
2021-01-02 01:00:00,2.195,0.301,2724.379,1.439,0.439,2724.716,1.439,0.372,2724.853,2.624,-0.534,2725.734,-99999,-99999,-99999,P,KCOCREST39 & KCOCREST46
2021-01-02 02:00:00,2.195,0.3,2724.38,1.439,0.438,2724.717,1.439,0.373,2724.852,2.624,-0.539,2725.739,-99999,-99999,-99999,P,KCOCREST39 & KCOCREST46
2021-01-02 03:00:00,2.195,0.299,2724.381,1.439,0.439,2724.716,1.439,0.372,2724.853,2.624,-0.537,2725.737,-99999,-99999,-99999,P,KCOCREST39 & KCOCREST46
2021-01-02 04:00:00,2.195,0.301,2724.379,1.439,0.441,2724.714,1.439,0.372,2724.853,2.624,-0.534,2725.734,-99999,-99999,-99999,P,KCOCREST39 & KCOCREST46
2021-01-02 05:00:00,2.195,0.299,2724.381,1.439,0.438,2724.717,1.439,0.37,2724.855,2.624,-0.536,2725.736,-99999,-99999,-99999,P,KCOCREST39 & KCOCREST46
2021-01-02 06:00:00,2.195,0.301,2724.379,1.439,0.439,2724.716,1.439,0.372,2724.853,2.624,-0.534,2725.734,-99999,-99999,-99999,P,KCOCREST39 & KCOCREST46
