,0
GB2,2725.2989336099577
GB4,2724.892680497925
GB5,2724.823593360996
GB6,2724.667987551867
GB7,2724.8238091286307
GB8,2725.2619336099583
GB9,2725.6964444444443
OBJ1-D,2725.3024854771784
OBJ1-M,2725.375883817427
OBJ1-S,2725.6819128630705
OBJ2-D,2724.9945850622403
OBJ2-M,2725.344132780083
OBJ2-S,2725.7881203319503
OBJ4-D,2725.1901369294606
OBJ4-M,2725.371348547718
OBJ4-S,2725.5492780082986
